,session_no,Member_name,Days_attended,question_count
2096,225Part1,raghunandan sharma,  13,19.0
2097,225Part1,kusum rai,  14,26.0
2098,225Part1,rudra narayan pany,  6,21.0
2099,225Part1,kumar deepak das,  14,15.0
2100,225Part1,anil kumar sahani,  4,
2101,225Part1,a. elavarasan,  13,28.0
2102,225Part1,naresh gujral,  13,4.0
2103,225Part1,lalhming liana,  11,
2104,225Part1,hema malini, 7,25.0
2105,225Part1,piyush goyal,  14,30.0
2106,225Part1,anil madhav dave,  10,18.0
2107,225Part1,kaptan singh solanki,  11,19.0
2108,225Part1,shashi bhusan behera,  13,
2109,225Part1,baishnab parida,  14,28.0
2110,225Part1,ranbir singh parjapati,  13,
2111,225Part1,y. s. chowdary,  12,19.0
2112,225Part1,gundu sudharani,  7,23.0
2113,225Part1,a. w. rabi bernard,  14,
2114,225Part1,ram chandra prasad singh,  9,21.0
2115,225Part1,sabir ali,  11,28.0
2116,225Part1,meghraj jain,  13,12.0
2117,225Part1,dilipbhai pandya,  13,29.0
2118,225Part1,bimla kashyap sood,  11,15.0
2119,225Part1,arun jaitley,  LOP,
2120,225Part1,k. rahman khan, HDC,
2121,225Part1,maya singh,  14,22.0
2122,225Part1,bhagat singh koshyari, 11,21.0
2123,225Part1,rajiv pratap rudy,  13,14.0
2124,225Part1,ramdas agarwal,  6,15.0
2125,225Part1,chandan mitra,  14,5.0
2126,225Part1,vijaykumar rupani,  12,
2127,225Part1,prakash javadekar,  14,27.0
2128,225Part1,om prakash mathur,  13,13.0
2129,225Part1,avinash rai khanna,  13,17.0
2130,225Part1,k.b. shanappa, 12,
2131,225Part1,shreegopal vyas, 14,25.0
2132,225Part1,aayanur manjunatha, 10,
2133,225Part1,tarun vijay, 14,26.0
2134,225Part1,kanjibhai patel,  14,20.0
2135,225Part1,narayan singh kesari,  14,1.0
2136,225Part1,smriti zubin irani,  12,25.0
2137,225Part1,gyan prakash pilania,  14,25.0
2138,225Part1,jai prakash narayan singh, 14,26.0
2139,225Part1,natuji halaji thakor,  9,27.0
2140,225Part1,bharatsinh prabhatsinh parmar,  10,19.0
2141,225Part1,,,
2142,227,manmohan singh,  PM,
2143,227,ambika soni,  19,
2144,227,rajeev shukla,  M,
2145,227,anand sharma,  M,
2146,227,saif-ud-din soz,  18,
2147,227,mohsina kidwai, 20,
2148,227,rishang keishing,  19,
2149,227,k. chiranjeevi,  M,
2150,227,janardan dwivedi,  20,
2151,227,praveen rashtrapal,  11,3.0
2152,227,chaudhary birender singh,  19,3.0
2153,227,narendra budania,  19,
2154,227,prabha thakur,  18,21.0
2155,227,alka balram kshatriya,  10,
2156,227,parvez hashmi,  20,4.0
2157,227,ashk ali tak,  20,17.0
2158,227,shadi lal batra,  16,
2159,227,palvai govardhan reddy,  15,35.0
2160,227,p. kannan, 12,
2161,227,naznin faruque,  17,35.0
2162,227,a.k. antony,  M,
2163,227,k. rahman khan, M,
2164,227,ghulam nabi azad,  M,
2165,227,karan singh,  18,
2166,227,vayalar ravi,  M,
2167,227,jairam ramesh, M,
2168,227,g.k. vasan,  M,
2169,227,ahmed patel,  9,
2170,227,ashwani kumar,  M,
2171,227,oscar fernandes, 18,
2172,227,m.s. gill,  20,
2173,227,t. subbarami reddy,  13,40.0
2174,227,mani shankar aiyar,17,4.0
2175,227,jayanthi natarajan,  M,
2176,227,nandi yellaiah,  16,7.0
2177,227,bhubaneswar kalita,  15,10.0
2178,227,renuka chowdhury,  15,
2179,227,mukut mithi,  13,
2180,227,satish sharma,  19,
2181,227,rasheed masood,  16,34.0
2182,227,satyavrat chaturvedi,  20,
2183,227,e.m. sudarsana natchiappan,  19,20.0
2184,227,shantaram naik, 16,34.0
2185,227,vijay jawaharlal darda,  11,34.0
2186,227,rama chandra khuntia,  11,42.0
2187,227,ram prakash,  20,12.0
2188,227,v. hanumantha rao,  10,
2189,227,mohammad shafi,  19,
2190,227,vijaylaxmi sadho,  20,
2191,227,b. s. gnanadesikan,  14,
2192,227,ishwar singh,  20,18.0
2193,227,mohd. ali khan,  20,41.0
2194,227,bhalchandra mungekar,18,8.0
2195,227,husain dalwai,  19,36.0
2196,227,abhishek manu singhvi,  9,
2197,227,jesudasu seelam,  15,8.0
2198,227,dhiraj prasad sahu, 20,22.0
2199,227,p. bhattacharya,  17,11.0
2200,227,t. ratna bai,  20,42.0
2201,227,ananda bhaskar rapolu,  13,
2202,227,anil h. lad, 14,
2203,227,mahendra singh mahra, 20,39.0
2204,227,pankaj bora,  20,17.0
2205,227,avinash pande,  19,33.0
2206,227,pradeep kumar balmuchu, 20,38.0
2207,227,k.v.p. ramachandra rao,  11,16.0
2208,227,biswajit daimary,  17,
2209,227,joy abraham,  18,4.0
2210,227,n. janardhana reddy,  1,
2211,227,motilal vora, 20,30.0
2212,227,mukul roy,  7,
2213,227,tariq anwar,  M,
2214,227,sukhendu sekhar ray,  17,
2215,227,d. raja,  17,28.0
2216,227,devender goud t.,  12,24.0
2217,227,shashi bhusan behera,  20,
2218,227,yogendra p. trivedi,  12,27.0
2219,227,derek o' brien,  17,
2220,227,kanimozhi,  12,29.0
2221,227,prem chand gupta,  20,
2222,227,shyamal chakraborty,  15,
2223,227,mahendra prasad,  13,
2224,227,ram vilas paswan,  16,27.0
2225,227,kiranmay nanda,  17,
2226,227,d.p. tripathi,  20,36.0
2227,227,k.p. ramalingam,  20,33.0
2228,227,tarini kanta roy,  13,5.0
2229,227,kanwar deep singh,  20,36.0
2230,227,h.k. dua,20,12.0
2231,227,anu aga,11,
2232,227,rekha,1,
2233,227,ashok s. ganguly,18,
2234,227,javed akhtar,7,
2235,227,m.s. swaminathan,17,
2236,227,vijay mallya, 5,14.0
2237,227,ram kripal yadav,  15,37.0
2238,227,janardhan waghmare,  5,44.0
2239,227,vasanthi stanley,  19,40.0
2240,227,t.m. selvaganapathi,  12,39.0
2241,227,b. jayashree,8,
2242,227,k. parasaran,13,
2243,227,mrinal miri,20,
2244,227,d. bandyopadhyay,  19,13.0
2245,227,srinjoy bose,  9,
2246,227,khekiho zhimomi,  5,
2247,227,vandana chavan,  3,
2248,227,ishwarlal shankarlal jain,  15,36.0
2249,227,thomas sangma, 16,3.0
2250,227,hishey lachungpa,  15,
2251,227,s. thangavelu,  18,20.0
2252,227,a.a. jinnah,  19,21.0
2253,227,g. n. ratanpuri,  20,
2254,227,mohammed adeeb,  15,35.0
2255,227,md. nadimul haque,  18,
2256,227,vivek gupta,  17,17.0
2257,227,kunal kumar ghosh,  12,
2258,227,sitaram yechury,  19,
2259,227,mohan singh,  18,31.0
2260,227,shivanand tiwari,  20,
2261,227,km. mayawati,  18,
2262,227,prasanta chatterjee,  20,12.0
2263,227,ram gopal yadav,  17,
2264,227,n. k. singh,  19,
2265,227,satish chandra misra,  19,
2266,227,v. maitreyan,  19,29.0
2267,227,tapan kumar sen,  16,7.0
2268,227,naresh agrawal,  20,33.0
2269,227,ali anwar ansari,  19,5.0
2270,227,akhilesh das gupta,  19,
2271,227,veer singh,  20,2.0
2272,227,brajesh pathak,  20,
2273,227,t.k. rangarajan,  18,8.0
2274,227,p. rajeeve,  19,25.0
2275,227,jaya bachchan,  18,30.0
2276,227,mangala kisan,  18,
2277,227,s.p.singh baghel,  20,
2278,227,rajaram,  20,
2279,227,sanjay raut,  12,35.0
2280,227,barun mukherji,  13,
2281,227,bashistha narain singh,  12,2.0
2282,227,k.n. balagopal,  18,38.0
2283,227,jharna das baidya,  20,23.0
2284,227,renubala pradhan,  13,11.0
2285,227,rajeev chandrasekhar, 13,37.0
2286,227,munquad ali,  20,
2287,227,brijlal khabri,  20,
2288,227,pyarimohan mohapatra,  13,
2289,227,darshan singh yadav,  20,43.0
2290,227,ram chandra prasad singh,  13,32.0
2291,227,parimal nathwani,  6,32.0
2292,227,amar singh,  7,
2293,227,nandamuri harikrishna,  18,
2294,227,c.m. ramesh,  18,42.0
2295,227,jugul kishore,  20,31.0
2296,227,avtar singh karimpuri,  20,2.0
2297,227,ambeth rajan,  20,29.0
2298,227,ahmad saeed malihabadi,  20,5.0
2299,227,ranbir singh parjapati,  15,10.0
2300,227,c.p. narayanan,  19,29.0
2301,227,t.n. seema,  20,38.0
2302,227,m.p. achuthan,  20,26.0
2303,227,alok tiwari,  20,
2304,227,arvind kumar singh,  20,32.0
2305,227,chaudhary munvvar saleem,  20,8.0
2306,227,salim ansari,  20,
2307,227,rajpal singh saini,  20,
2308,227,narendra kumar kashyap,  20,31.0
2309,227,najma a. heptulla,  15,18.0
2310,227,m. venkaiah naidu,  20,
2311,227,shanta kumar,  17,5.0
2312,227,ravi shankar prasad,  19,35.0
2313,227,m. rama jois, 20,3.0
2314,227,ram jethmalani,  15,38.0
2315,227,thaawarchand gehlot,  19,
2316,227,c.p. thakur,  16,
2317,227,vinay katiyar,  17,
2318,227,mukhtar abbas naqvi, 17,5.0
2319,227,paul manoj pandian,  1,
2320,227,dharmendra pradhan,  17,19.0
2321,227,balbir punj,  19,
2322,227,v.p. singh badnore,  17,6.0
2323,227,jagat prakash nadda,  18,8.0
2324,227,birendra prasad baishya,  15,22.0
2325,227,sardar sukhdev singh dhindsa,  12,14.0
2326,227,n. balaganga,  10,38.0
2327,227,avinash rai khanna,  18,22.0
2328,227,kaptan singh solanki,  20,17.0
2329,227,parshottam rupala,  5,27.0
2330,227,prabhat jha,  13,42.0
2331,227,rajkumar dhoot,  11,45.0
2332,227,sardar balwinder singh bhunder,  17,33.0
2333,227,upendra kushwaha,  18,7.0
2334,227,shivpratap singh, 16,
2335,227,piyush goyal,  14,32.0
2336,227,raghunandan sharma,  19,36.0
2337,227,kusum rai,  18,36.0
2338,227,anil madhav dave,  2,
2339,227,kumar deepak das,  18,19.0
2340,227,anil kumar sahani,  18,35.0
2341,227,a. elavarasan,  17,35.0
2342,227,bharatkumar raut,  17,8.0
2343,227,naresh gujral,  18,3.0
2344,227,lalhming liana,  19,
2345,227,rangasayee ramakrishna, 20,3.0
2346,227,dilipbhai pandya,  9,26.0
2347,227,bhushan lal jangde, 18,9.0
2348,227,bimla kashyap sood,  19,12.0
2349,227,baishnab parida,  20,40.0
2350,227,dilip kumar tirkey,  18,23.0
2351,227,rabinarayan mohapatra,  18,
2352,227,y. s. chowdary,  5,32.0
2353,227,gundu sudharani,  13,35.0
2354,227,a. w. rabi bernard,  14,
2355,227,a.v. swamy,  17,13.0
2356,227,sabir ali,  16,28.0
2357,227,anil desai,  13,20.0
2358,227,sanjiv kumar, 20,
2359,227,ajay sancheti,  8,13.0
2360,227,arun jaitley,  LOP,
2361,227,p.j. kurien,  HDC,
2362,227,maya singh,  20,31.0
2363,227,bhagat singh koshyari, 16,30.0
2364,227,rajiv pratap rudy,  20,18.0
2365,227,faggan singh kulaste,  17,16.0
2366,227,chandan mitra,  19,32.0
2367,227,nand kumar sai, 15,39.0
2368,227,prakash javadekar,  18,39.0
2369,227,om prakash mathur,  3,34.0
2370,227,smriti zubin irani,  12,34.0
2371,227,natuji halaji thakor,  5,32.0
2372,227,bharatsinh prabhatsinh parmar,  2,10.0
2373,227,aayanur manjunatha, 15,44.0
2374,227,tarun vijay, 13,3.0
2375,227,jai prakash narayan singh, 17,31.0
2376,227,basawaraj patil, 19,13.0
2377,227,bhupender yadav,  19,26.0
2378,227,gyan prakash pilania,  20,32.0
2379,227,shankarbhai n. vegad,  5,
2380,227,mansukh mandaviya,  4,
2381,227,,,
2382,222,manmohan singh,  PM,
2383,222,ambika soni,  M,
2384,222,ashwani kumar,  M,
2385,222,anand sharma,  M,
2386,222,murli deora,  M,
2387,222,saif-ud-din soz,  23,
2388,222,mohsina kidwai, 22,
2389,222,rishang keishing,  23,
2390,222,janardan dwivedi,  23,
2391,222,sushila tiriya,  17,8.0
2392,222,rajeev shukla,  23,14.0
2393,222,narendra budania,  22,
2394,222,prabha thakur,  20,12.0
2395,222,viplove thakur,  22,29.0
2396,222,alka balram kshatriya,  23,
2397,222,silvius condpan,  22,
2398,222,praveen rashtrapal,  22,17.0
2399,222,parvez hashmi,  20,9.0
2400,222,shadi lal batra,  23,10.0
2401,222,p. kannan, 16,
2402,222,naznin faruque,  22,
2403,222,a.k. antony,  M,
2404,222,s.m. krishna, M,
2405,222,ghulam nabi azad,  M,
2406,222,karan singh,  21,
2407,222,vayalar ravi,  M,
2408,222,m.s. gill,  M,
2409,222,g.k. vasan,  M,
2410,222,ahmed patel,  14,
2411,222,p.j. kurien,  23,8.0
2412,222,oscar fernandes, 23,
2413,222,jairam ramesh, M,
2414,222,mani shankar aiyar,17,
2415,222,jayanthi natarajan,  12,29.0
2416,222,nandi yellaiah,  17,19.0
2417,222,bhubaneswar kalita,  11,13.0
2418,222,mabel rebello, 22,18.0
2419,222,satish sharma,  18,
2420,222,t. subbarami reddy,  15,37.0
2421,222,satyavrat chaturvedi,  23,20.0
2422,222,e.m. sudarsana natchiappan,  23,1.0
2423,222,mukut mithi,  19,
2424,222,vijay jawaharlal darda,  13,12.0
2425,222,rama chandra khuntia,  21,36.0
2426,222,raashid alvi,  22,11.0
2427,222,v. hanumantha rao,  20,1.0
2428,222,dasari narayana rao,  12,
2429,222,chaudhary birender singh,  21,3.0
2430,222,g. sanjeeva reddy,  17,
2431,222,b. s. gnanadesikan,  14,
2432,222,ram prakash,  23,
2433,222,k. keshava rao,  21,
2434,222,bhalchandra mungekar,19,15.0
2435,222,shantaram naik, 23,21.0
2436,222,abhishek manu singhvi,  17,
2437,222,jesudasu seelam,  22,1.0
2438,222,ram dayal munda,21,
2439,222,mohammad shafi,  23,
2440,222,t. ratna bai,  23,34.0
2441,222,vijaylaxmi sadho,  19,
2442,222,anil h. lad, 18,
2443,222,ishwar singh,  19,9.0
2444,222,mohd. ali khan,  23,34.0
2445,222,dhiraj prasad sahu, 17,11.0
2446,222,avinash pande,  22,
2447,222,ashk ali tak,  23,14.0
2448,222,k.v.p. ramachandra rao,  19,34.0
2449,222,biswajit daimary,  10,1.0
2450,222,swapan sadhan bose,  5,
2451,222,n. janardhana reddy,  12,
2452,222,motilal vora, 23,23.0
2453,222,tariq anwar,  22,22.0
2454,222,mukul roy,  M,
2455,222,prem chand gupta,  19,
2456,222,d. raja,  21,28.0
2457,222,mohan singh,  22,30.0
2458,222,brinda karat,  18,21.0
2459,222,jabir husain,  23,
2460,222,kanimozhi,  7,19.0
2461,222,moinul hassan,  8,28.0
2462,222,shyamal chakraborty,  12,
2463,222,mahendra prasad,  23,
2464,222,rajniti prasad,  23,13.0
2465,222,ram vilas paswan,  17,10.0
2466,222,yogendra p. trivedi,  13,20.0
2467,222,k.p. ramalingam,  20,28.0
2468,222,mangala kisan,  23,
2469,222,tarini kanta roy,  12,2.0
2470,222,tapan kumar sen,  20,11.0
2471,222,h.k. dua,23,
2472,222,shobhana bhartia,18,36.0
2473,222,shyam benegal,19,2.0
2474,222,ashok s. ganguly,22,4.0
2475,222,javed akhtar,13,
2476,222,m.s. swaminathan,20,
2477,222,() kapila vatsyayan,20,
2478,222,vijay mallya, 9,9.0
2479,222,ram kripal yadav,  21,26.0
2480,222,janardhan waghmare,  17,34.0
2481,222,vasanthi stanley,  19,11.0
2482,222,t.m. selvaganapathi,  16,39.0
2483,222,b. jayashree,16,
2484,222,barun mukherji,  22,1.0
2485,222,khekiho zhimomi,  19,8.0
2486,222,renubala pradhan,  11,
2487,222,o.t. lepcha,  20,1.0
2488,222,thomas sangma, 21,4.0
2489,222,ishwarlal shankarlal jain,  18,31.0
2490,222,ranjitsinh vijaysinh mohite-patil,  20,
2491,222,s. thangavelu,  16,21.0
2492,222,a.a. jinnah,  16,5.0
2493,222,g. n. ratanpuri,  22,
2494,222,kanwar deep singh,  19,6.0
2495,222,mohammed adeeb,  22,25.0
2496,222,mahmood a. madani,  12,
2497,222,r.c. singh,  22,31.0
2498,222,sitaram yechury,  21,
2499,222,pyarimohan mohapatra,  13,3.0
2500,222,shivanand tiwari,  21,26.0
2501,222,satish chandra misra,  20,
2502,222,prasanta chatterjee,  5,2.0
2503,222,ram gopal yadav,  15,
2504,222,n. k. singh,  22,
2505,222,brajesh pathak,  17,
2506,222,v. maitreyan,  4,
2507,222,mohammed amin,  23,1.0
2508,222,kishore kumar mohanty,  19,2.0
2509,222,ali anwar ansari,  19,1.0
2510,222,akhilesh das gupta,  19,
2511,222,rajaram,  22,
2512,222,veer singh,  18,
2513,222,t.k. rangarajan,  6,25.0
2514,222,p. rajeeve,  15,30.0
2515,222,mahendra mohan,  19,34.0
2516,222,s.p.singh baghel,  22,
2517,222,naresh agrawal,  16,11.0
2518,222,m.v. mysura reddy,  23,
2519,222,sanjay raut,  18,24.0
2520,222,abani roy,  22,
2521,222,syed azeez pasha,  22,34.0
2522,222,k.n. balagopal,  13,30.0
2523,222,rasheed masood,  13,30.0
2524,222,nandamuri harikrishna,  19,
2525,222,jai prakash,  15,9.0
2526,222,ganga charan,  14,
2527,222,brijlal khabri,  5,16.0
2528,222,p.r. rajan,  3,
2529,222,saman pathak,  17,
2530,222,parimal nathwani,  6,27.0
2531,222,amar singh,  8,
2532,222,rajeev chandrasekhar, 22,38.0
2533,222,munquad ali,  5,
2534,222,jugul kishore,  15,
2535,222,avtar singh karimpuri,  18,13.0
2536,222,ambeth rajan,  23,
2537,222,ahmad saeed malihabadi,  21,
2538,222,sabir ali,  16,26.0
2539,222,jharna das baidya,  22,1.0
2540,222,t.n. seema,  12,22.0
2541,222,m.p. achuthan,  17,21.0
2542,222,k.e. ismail,  6,21.0
2543,222,veer pal singh yadav,  16,
2544,222,salim ansari,  23,
2545,222,pramod kureel,  7,
2546,222,rajpal singh saini,  22,
2547,222,narendra kumar kashyap,  22,11.0
2548,222,manohar joshi,  21,12.0
2549,222,m. venkaiah naidu,  19,
2550,222,shanta kumar,  15,1.0
2551,222,s.s. ahluwalia, 22,13.0
2552,222,m. rama jois, 23,
2553,222,ram jethmalani,  9,22.0
2554,222,vikram verma,  21,
2555,222,c.p. thakur,  18,
2556,222,balavant alias bal apte,  11,26.0
2557,222,ravi shankar prasad,  15,27.0
2558,222,paul manoj pandian,  7,6.0
2559,222,mukhtar abbas naqvi, 20,
2560,222,balbir punj,  14,
2561,222,vinay katiyar,  19,
2562,222,kalraj mishra,  15,19.0
2563,222,birendra prasad baishya,  13,17.0
2564,222,sardar sukhdev singh dhindsa,  20,20.0
2565,222,n. balaganga,  2,30.0
2566,222,nand kumar sai, 22,35.0
2567,222,anusuiya uikey,  19,24.0
2568,222,parshottam rupala,  22,26.0
2569,222,prabhat jha,  17,32.0
2570,222,rajkumar dhoot,  8,28.0
2571,222,sardar balwinder singh bhunder,  17,32.0
2572,222,upendra kushwaha,  20,15.0
2573,222,shivpratap singh, 12,
2574,222,v.p. singh badnore,  22,
2575,222,raghunandan sharma,  20,20.0
2576,222,kusum rai,  19,31.0
2577,222,rudra narayan pany,  21,29.0
2578,222,kumar deepak das,  18,19.0
2579,222,anil kumar sahani,  21,32.0
2580,222,a. elavarasan,  18,32.0
2581,222,bharatkumar raut,  22,9.0
2582,222,naresh gujral,  20,7.0
2583,222,lalhming liana,  23,
2584,222,surendra motilal patel,  16,
2585,222,piyush goyal,  19,8.0
2586,222,anil madhav dave,  21,17.0
2587,222,kaptan singh solanki,  22,11.0
2588,222,shashi bhusan behera,  23,
2589,222,baishnab parida,  21,
2590,222,ranbir singh parjapati,  14,
2591,222,y. s. chowdary,  18,21.0
2592,222,gundu sudharani,  18,30.0
2593,222,k.v. ramalingam,  6,
2594,222,ram chandra prasad singh,  20,22.0
2595,222,hema malini, 3,
2596,222,bimla kashyap sood,  22,21.0
2597,222,arun jaitley,  LOP,
2598,222,k. rahman khan, HDC,
2599,222,maya singh,  23,23.0
2600,222,bhagat singh koshyari, 19,30.0
2601,222,rajiv pratap rudy,  21,28.0
2602,222,ramdas agarwal,  19,31.0
2603,222,chandan mitra,  17,
2604,222,vijaykumar rupani,  21,
2605,222,prakash javadekar,  19,28.0
2606,222,om prakash mathur,  19,10.0
2607,222,avinash rai khanna,  23,22.0
2608,222,k.b. shanappa, 22,
2609,222,shreegopal vyas, 22,33.0
2610,222,aayanur manjunatha, 18,
2611,222,tarun vijay, 20,12.0
2612,222,kanjibhai patel,  23,9.0
2613,222,narayan singh kesari,  23,
2614,222,pravin naik,  23,
2615,222,gyan prakash pilania,  23,21.0
2616,222,jai prakash narayan singh, 22,27.0
2617,222,natuji halaji thakor,  21,25.0
2618,222,bharatsinh prabhatsinh parmar,  20,13.0
2619,222,,,
2620,234,raj babbar, 4,
2621,234,arun jaitley,  M,
2622,234,manohar parrikar,  M,
2623,234,mukhtar abbas naqvi, M,
2624,234,nirmala sitharaman, M,
2625,234,chaudhary birender singh,  M,
2626,234,avinash rai khanna,  19,32.0
2627,234,vinay katiyar,  19,
2628,234,prabhat jha,  19,38.0
2629,234,anil madhav dave,  18,10.0
2630,234,chandan mitra,  19,32.0
2631,234,nand kumar sai, 16,
2632,234,tarun vijay, 19,11.0
2633,234,aayanur manjunatha, 18,18.0
2634,234,prabhakar kore, 18,21.0
2635,234,shankarbhai n. vegad,  19,
2636,234,meghraj jain,  19,7.0
2637,234,ajay sancheti,  12,22.0
2638,234,ranvijay singh judev, 19,2.0
2639,234,chunibhai kanjibhai gohel,  19,1.0
2640,234,mahant shambhuprasadji tundiya,  19,
2641,234,lal sinh vadodia,  18,31.0
2642,234,ram narain dudi,  19,3.0
2643,234,m. venkaiah naidu,  M,
2644,234,ravi shankar prasad,  M,
2645,234,thaawarchand gehlot,  M,
2646,234,najma a. heptulla,  M,
2647,234,jagat prakash nadda,  M,
2648,234,dharmendra pradhan,  M,
2649,234,piyush goyal,  M,
2650,234,suresh prabhu,  M,
2651,234,smriti zubin irani,  M,
2652,234,prakash javadekar,  M,
2653,234,satyanarayan jatiya,  19,12.0
2654,234,v.p. singh badnore,  19,
2655,234,sardar sukhdev singh dhindsa,  14,
2656,234,y. s. chowdary,  M,
2657,234,sanjay raut,  17,30.0
2658,234,c.p. thakur,  18,
2659,234,vijay goel,  18,33.0
2660,234,bimla kashyap sood,  18,15.0
2661,234,c.m. ramesh,  15,34.0
2662,234,sardar balwinder singh bhunder,  19,26.0
2663,234,naresh gujral,  19,11.0
2664,234,rajkumar dhoot,  12,36.0
2665,234,bhupender yadav,  19,17.0
2666,234,dilipbhai pandya,  19,10.0
2667,234,bhushan lal jangde, 19,20.0
2668,234,ramdas athawale,  14,39.0
2669,234,parimal nathwani,  17,41.0
2670,234,rajeev chandrasekhar, 19,26.0
2671,234,k. r. arjunan,  18,
2672,234,a. k. selvaraj,  14,37.0
2673,234,basawaraj patil, 19,13.0
2674,234,rangasayee ramakrishna, 19,7.0
2675,234,mansukh mandaviya,  17,
2676,234,narayan lal panchariya,  19,31.0
2677,234,anil desai,  19,12.0
2678,234,thota seetharama lakshmi,  16,11.0
2679,234,gundu sudharani,  14,24.0
2680,234,paul manoj pandian,  19,36.0
2681,234,vijila sathyananth,  19,9.0
2682,234,v. maitreyan,  15,28.0
2683,234,r. k. sinha,  13,
2684,234,shamsher singh manhas,  18,
2685,234,amar shankar sable,  3,
2686,234,mir mohammad fayaz,  14,
2687,234,nazir ahmed laway,  14,
2688,234,sanjay dattatraya kakade,  5,5.0
2689,234,garikapati mohan rao,  10,
2690,234,d. kupendra reddy, 16,27.0
2691,234,a. w. rabi bernard,  19,9.0
2692,234,hishey lachungpa,  9,
2693,234,a.v. swamy,  19,2.0
2694,234,a. navaneethakrishnan,  16,
2695,234,dilip kumar tirkey,  18,7.0
2696,234,mukul roy,  18,
2697,234,mukul roy,  18,
2698,234,mukul roy,  18,
2699,234,derek o' brien,  19,
2700,234,derek o' brien,  19,
2701,234,sharad pawar,  15,
2702,234,sukhendu sekhar ray,  18,
2703,234,s. muthukaruppan,  17,
2704,234,devender goud t.,  14,27.0
2705,234,praful patel,  13,
2706,234,kanimozhi,  9,12.0
2707,234,sasikala pushpa ramaswamy,  17,
2708,234,kalpataru das,  19,
2709,234,tiruchi siva,  16,10.0
2710,234,kanwar deep singh,  12,6.0
2711,234,kanwar deep singh,  12,6.0
2712,234,mahendra prasad,  18,
2713,234,t. rathinavel,  11,36.0
2714,234,r. lakshmanan,  10,
2715,234,baishnab parida,  18,36.0
2716,234,k.p. ramalingam,  16,35.0
2717,234,d.p. tripathi,  19,13.0
2718,234,k.c. tyagi,  19,26.0
2719,234,md. nadimul haque,  17,23.0
2720,234,md. nadimul haque,  17,23.0
2721,234,h.k. dua,19,3.0
2722,234,anu aga,13,
2723,234,rekha,1,
2724,234,ashok s. ganguly,18,
2725,234,javed akhtar,11,
2726,234,b. jayashree,12,
2727,234,sachin ramesh tendulkar,3,
2728,234,vijay mallya, 7,
2729,234,ram jethmalani,  8,
2730,234,a.u. singh deo,  17,36.0
2731,234,khekiho zhimomi,  13,
2732,234,majeed memon,  10,25.0
2733,234,k.t.s. tulsi, 18,2.0
2734,234,k. parasaran,16,
2735,234,mrinal miri,16,1.0
2736,234,d. bandyopadhyay,  16,2.0
2737,234,d. bandyopadhyay,  16,2.0
2738,234,ahamed hassan,  15,
2739,234,ahamed hassan,  15,
2740,234,jogen chowdhury,  8,
2741,234,sarojini hembram,  16,22.0
2742,234,anubhav mohanty,  13,22.0
2743,234,bhupinder singh,  19,25.0
2744,234,ram kumar kashyap,  18,33.0
2745,234,vandana chavan,  12,32.0
2746,234,ishwarlal shankarlal jain,  7,
2747,234,s. thangavelu,  19,38.0
2748,234,vivek gupta,  19,35.0
2749,234,vivek gupta,  19,35.0
2750,234,dola sen,  3,
2751,234,sitaram yechury,  12,
2752,234,ram gopal yadav,  18,
2753,234,sharad yadav,  17,
2754,234,km. mayawati,  19,
2755,234,p. rajeeve,  16,22.0
2756,234,naresh agrawal,  18,21.0
2757,234,ali anwar ansari,  17,6.0
2758,234,d. raja,  14,24.0
2759,234,satish chandra misra,  17,
2760,234,tapan kumar sen,  18,11.0
2761,234,kiranmay nanda,  19,20.0
2762,234,javed ali khan,  19,
2763,234,anil kumar sahani,  18,8.0
2764,234,ambeth rajan,  19,37.0
2765,234,veer singh,  18,
2766,234,t.k. rangarajan,  19,15.0
2767,234,bashistha narain singh,  15,
2768,234,jaya bachchan,  17,9.0
2769,234,kanak lata singh,  19,16.0
2770,234,tazeen fatma,  17,
2771,234,narendra kumar kashyap,  17,26.0
2772,234,prem chand gupta,  19,6.0
2773,234,ram nath thakur,  19,19.0
2774,234,ram chandra prasad singh,  5,
2775,234,k.n. balagopal,  16,36.0
2776,234,jharna das baidya,  15,32.0
2777,234,darshan singh yadav,  17,19.0
2778,234,vishambhar prasad nishad,  17,25.0
2779,234,munquad ali,  15,
2780,234,munquad ali,  15,
2781,234,jugul kishore,  16,
2782,234,jugul kishore,  16,
2783,234,jugul kishore,  16,
2784,234,chaudhary munvvar saleem,  18,
2785,234,pyarimohan mohapatra,  10,12.0
2786,234,pavan kumar varma,  19,
2787,234,harivansh,  19,25.0
2788,234,t.n. seema,  17,35.0
2789,234,m.p. achuthan,  15,21.0
2790,234,alok tiwari,  19,
2791,234,arvind kumar singh,  19,23.0
2792,234,neeraj shekhar,  18,22.0
2793,234,rajaram,  18,
2794,234,k. keshava rao,  16,
2795,234,c.p. narayanan,  18,25.0
2796,234,ritabrata banerjee,  12,39.0
2797,234,kahkashan perween,  17,10.0
2798,234,gulam rasool balyawi,  18,27.0
2799,234,chandrapal singh yadav,  15,5.0
2800,234,ravi prakash verma,  18,36.0
2801,234,sanjiv kumar, 17,10.0
2802,234,salim ansari,  19,16.0
2803,234,rajpal singh saini,  19,
2804,234,anand sharma,  18,14.0
2805,234,a.k. antony,  17,
2806,234,karan singh,  8,
2807,234,manmohan singh,  19,
2808,234,ahmed patel,  17,13.0
2809,234,digvijaya singh,  18,5.0
