,session_no,Member_name,Days_attended,question_count
175,230,ravi shankar prasad,  9,21.0
176,230,m. rama jois, 9,
177,230,thaawarchand gehlot,  10,
178,230,c.p. thakur,  10,4.0
179,230,vinay katiyar,  8,
180,230,mukhtar abbas naqvi, 8,
181,230,paul manoj pandian,  1,
182,230,dharmendra pradhan,  8,
183,230,balbir punj,  9,
184,230,v.p. singh badnore,  9,
185,230,jagat prakash nadda,  8,3.0
186,230,birendra prasad baishya,  10,13.0
187,230,sardar sukhdev singh dhindsa,  6,1.0
188,230,n. balaganga,  9,22.0
189,230,avinash rai khanna,  10,14.0
190,230,kaptan singh solanki,  8,
191,230,parshottam rupala,  9,15.0
192,230,prabhat jha,  6,18.0
193,230,rajkumar dhoot,  8,25.0
194,230,sardar balwinder singh bhunder,  5,18.0
195,230,naresh gujral,  9,5.0
196,230,shivpratap singh, 2,
197,230,piyush goyal,  8,18.0
198,230,raghunandan sharma,  8,2.0
199,230,kusum rai,  9,18.0
200,230,anil madhav dave,  2,
201,230,baishnab parida,  10,18.0
202,230,anil kumar sahani,  7,14.0
203,230,t. rathinavel,  8,
204,230,a. w. rabi bernard,  9,16.0
205,230,bharatkumar raut,  10,4.0
206,230,lalhming liana,  3,
207,230,rangasayee ramakrishna, 10,3.0
208,230,dilipbhai pandya,  6,11.0
209,230,bhushan lal jangde, 7,4.0
210,230,bimla kashyap sood,  10,14.0
211,230,a.v. swamy,  10,
212,230,dilip kumar tirkey,  8,12.0
213,230,rabinarayan mohapatra,  10,
214,230,r. lakshmanan,  10,22.0
215,230,k. r. arjunan,  9,
216,230,ranbir singh parjapati,  8,9.0
217,230,anil desai,  10,5.0
218,230,ajay sancheti,  5,14.0
219,230,arun jaitley,  LOP,
220,230,p.j. kurien,  HDC,
221,230,maya singh,  6,
222,230,bhagat singh koshyari, 5,16.0
223,230,rajiv pratap rudy,  9,12.0
224,230,faggan singh kulaste,  10,1.0
225,230,chandan mitra,  9,16.0
226,230,nand kumar sai, 1,16.0
227,230,prakash javadekar,  10,17.0
228,230,om prakash mathur,  6,
229,230,prabhakar kore, 3,12.0
230,230,smriti zubin irani,  5,20.0
231,230,natuji halaji thakor,  5,13.0
232,230,bharatsinh prabhatsinh parmar,  6,8.0
233,230,aayanur manjunatha, 8,21.0
234,230,tarun vijay, 8,7.0
235,230,jai prakash narayan singh, 10,14.0
236,230,basawaraj patil, 10,6.0
237,230,bhupender yadav,  6,16.0
238,230,gyan prakash pilania,  9,22.0
239,230,shankarbhai n. vegad,  8,
240,230,mansukh mandaviya,  7,
241,230,,,
242,220,manmohan singh,  PM,
243,220,ambika soni,  M,
244,220,prithviraj chavan,  M,
245,220,anand sharma,  26,
246,220,murli deora,  M,
247,220,saif-ud-din soz,  26,
248,220,mohsina kidwai, 23,14.0
249,220,rishang keishing,  25,
250,220,janardan dwivedi,  26,
251,220,sushila tiriya,  24,17.0
252,220,rajeev shukla,  25,6.0
253,220,narendra budania,  26,6.0
254,220,prabha thakur,  25,19.0
255,220,viplove thakur,  26,50.0
256,220,alka balram kshatriya,  25,25.0
257,220,silvius condpan,  26,4.0
258,220,praveen rashtrapal,  24,26.0
259,220,parvez hashmi,  26,21.0
260,220,shadi lal batra,  26,7.0
261,220,p. kannan, 6,
262,220,naznin faruque,  20,28.0
263,220,a.k. antony,  M,
264,220,s.m. krishna, M,
265,220,ghulam nabi azad,  M,
266,220,karan singh,  25,
267,220,arjun singh,  8,
268,220,vayalar ravi,  M,
269,220,m.s. gill,  M,
