,session_no,question_by,question_type,question_count
90,218,Shri Naresh Gujral,UNSTARRED,2
91,218,Shri Om Prakash Mathur,UNSTARRED,1
92,218,Shri P. Rajeeve,STARRED,2
93,218,Shri P. Rajeeve,UNSTARRED,1
94,218,Shri Parimal Nathwani,UNSTARRED,3
95,218,Shri Prabhat Jha,UNSTARRED,1
96,218,Shri Prakash Javadekar,UNSTARRED,2
97,218,Shri Praveen Rashtrapal,STARRED,1
98,218,Shri Praveen Rashtrapal,UNSTARRED,3
99,218,Shri Rajeev Chandrasekhar,UNSTARRED,4
100,218,Shri Rajeev Shukla,UNSTARRED,2
101,218,Shri Rajiv Pratap Rudy,STARRED,1
102,218,Shri Rajiv Pratap Rudy,UNSTARRED,2
103,218,Shri Rajkumar Dhoot,STARRED,1
104,218,Shri Rajkumar Dhoot,UNSTARRED,4
105,218,Shri Ravi Shankar Prasad,UNSTARRED,2
106,218,Shri Sanjay Raut,UNSTARRED,1
107,218,Shri Satyavrat Chaturvedi,UNSTARRED,4
108,218,Shri Sitaram Yechury,UNSTARRED,4
109,218,Shri T.K. Rangarajan,UNSTARRED,1
110,218,Shri Vijay Jawaharlal Darda,UNSTARRED,3
111,218,Smt. Jaya Bachchan,UNSTARRED,4
112,218,Smt. Kanimozhi,UNSTARRED,1
113,218,Smt. Kusum Rai,UNSTARRED,4
114,218,Smt. Viplove Thakur,UNSTARRED,1
115,219Part1,DR. BARUN MUKHERJI,UNSTARRED,2
116,219Part1,DR. GYAN PRAKASH PILANIA,STARRED,5
117,219Part1,DR. GYAN PRAKASH PILANIA,UNSTARRED,31
118,219Part1,DR. JANARDHAN WAGHMARE,STARRED,3
119,219Part1,DR. JANARDHAN WAGHMARE,UNSTARRED,20
120,219Part1,DR. K. MALAISAMY,STARRED,2
121,219Part1,DR. K. MALAISAMY,UNSTARRED,18
122,219Part1,DR. PRABHA THAKUR,STARRED,2
123,219Part1,DR. PRABHA THAKUR,UNSTARRED,12
124,219Part1,DR. RAM PRAKASH,STARRED,2
125,219Part1,DR. RAM PRAKASH,UNSTARRED,16
126,219Part1,DR. YOGENDRA P. TRIVEDI,STARRED,5
127,219Part1,DR. YOGENDRA P. TRIVEDI,UNSTARRED,21
128,219Part1,Dr. E.M. Sudarsana Natchiappan,STARRED,2
129,219Part1,Dr. E.M. Sudarsana Natchiappan,UNSTARRED,4
130,219Part1,Dr. Najma A. Heptulla,UNSTARRED,1
131,219Part1,Dr. T. Subbarami Reddy,STARRED,3
132,219Part1,Dr. T. Subbarami Reddy,UNSTARRED,28
133,219Part1,MISS ANUSUIYA UIKEY,STARRED,3
134,219Part1,MISS ANUSUIYA UIKEY,UNSTARRED,17
135,219Part1,MISS MABEL REBELLO,UNSTARRED,9
136,219Part1,MS. SUSHILA TIRIYA,STARRED,1
137,219Part1,MS. SUSHILA TIRIYA,UNSTARRED,12
138,219Part1,PROF. ALKA BALRAM KSHATRIYA,UNSTARRED,3
139,219Part1,Prof. P.J. Kurien,STARRED,4
140,219Part1,Prof. P.J. Kurien,UNSTARRED,11
141,219Part1,Prof. Saif-ud-Din Soz,STARRED,3
142,219Part1,Prof. Saif-ud-Din Soz,UNSTARRED,12
143,219Part1,SHRI A. ELAVARASAN,STARRED,1
144,219Part1,SHRI A. ELAVARASAN,UNSTARRED,28
145,219Part1,SHRI A. VIJAYARAGHAVAN,STARRED,1
146,219Part1,SHRI A. VIJAYARAGHAVAN,UNSTARRED,18
147,219Part1,SHRI AMIR ALAM KHAN,STARRED,1
148,219Part1,SHRI AMIR ALAM KHAN,UNSTARRED,10
149,219Part1,SHRI ANWAR ALI,UNSTARRED,1
150,219Part1,SHRI B.S. GNANADESIKAN,STARRED,3
151,219Part1,SHRI B.S. GNANADESIKAN,UNSTARRED,11
152,219Part1,SHRI BALAVANT ALIAS BAL APTE,STARRED,1
153,219Part1,SHRI BALAVANT ALIAS BAL APTE,UNSTARRED,6
154,219Part1,SHRI BHAGAT SINGH KOSHYARI,STARRED,2
155,219Part1,SHRI BHAGAT SINGH KOSHYARI,UNSTARRED,22
156,219Part1,SHRI BHAGIRATHI MAJHI,UNSTARRED,6
157,219Part1,SHRI BHAGWATI SINGH,UNSTARRED,2
158,219Part1,SHRI BHARATKUMAR RAUT,STARRED,3
159,219Part1,SHRI BHARATKUMAR RAUT,UNSTARRED,9
160,219Part1,SHRI BHARATSINH PRABHATSINH PARMAR,UNSTARRED,9
161,219Part1,SHRI BIRENDRA PRASAD BAISHYA,STARRED,1
162,219Part1,SHRI BIRENDRA PRASAD BAISHYA,UNSTARRED,29
163,219Part1,SHRI BRIJ BHUSHAN TIWARI,STARRED,2
164,219Part1,SHRI BRIJ BHUSHAN TIWARI,UNSTARRED,4
165,219Part1,SHRI DHARAM PAL SABHARWAL,STARRED,1
166,219Part1,SHRI DHARAM PAL SABHARWAL,UNSTARRED,17
167,219Part1,SHRI GIREESH KUMAR SANGHI,STARRED,3
168,219Part1,SHRI GIREESH KUMAR SANGHI,UNSTARRED,32
169,219Part1,SHRI GOVINDRAO ADIK,STARRED,3
170,219Part1,SHRI GOVINDRAO ADIK,UNSTARRED,22
171,219Part1,SHRI ISHWAR SINGH,UNSTARRED,1
172,219Part1,SHRI JAI PRAKASH NARAYAN SINGH,STARRED,4
173,219Part1,SHRI JAI PRAKASH NARAYAN SINGH,UNSTARRED,10
174,219Part1,SHRI K.E. ISMAIL,STARRED,2
175,219Part1,SHRI K.E. ISMAIL,UNSTARRED,9
176,219Part1,SHRI KALRAJ MISHRA,STARRED,1
177,219Part1,SHRI KALRAJ MISHRA,UNSTARRED,8
178,219Part1,SHRI KAMAL AKHTAR,UNSTARRED,11
179,219Part1,SHRI KANJIBHAI PATEL,STARRED,2
180,219Part1,SHRI KANJIBHAI PATEL,UNSTARRED,11
181,219Part1,SHRI KISHORE KUMAR MOHANTY,STARRED,3
182,219Part1,SHRI KISHORE KUMAR MOHANTY,UNSTARRED,13
183,219Part1,SHRI KRISHAN LAL BALMIKI,UNSTARRED,3
184,219Part1,SHRI KUMAR DEEPAK DAS,STARRED,5
185,219Part1,SHRI KUMAR DEEPAK DAS,UNSTARRED,20
186,219Part1,SHRI LALIT KISHORE CHATURVEDI,STARRED,3
187,219Part1,SHRI LALIT KISHORE CHATURVEDI,UNSTARRED,25
188,219Part1,SHRI M. RAMA JOIS,UNSTARRED,1
189,219Part1,SHRI M.V. MYSURA REDDEY,STARRED,3
190,219Part1,SHRI M.V. MYSURA REDDEY,UNSTARRED,30
191,219Part1,SHRI MAHENDRA MOHAN,STARRED,2
192,219Part1,SHRI MAHENDRA MOHAN,UNSTARRED,7
193,219Part1,SHRI MANGALA KISAN,STARRED,3
194,219Part1,SHRI MANGALA KISAN,UNSTARRED,23
195,219Part1,SHRI MANOHAR JOSHI,STARRED,1
196,219Part1,SHRI MANOHAR JOSHI,UNSTARRED,15
197,219Part1,SHRI MATILAL SARKAR,STARRED,2
198,219Part1,SHRI MATILAL SARKAR,UNSTARRED,4
199,219Part1,SHRI MOHAMMED AMIN,STARRED,2
200,219Part1,SHRI MOHAMMED AMIN,UNSTARRED,1
201,219Part1,SHRI MOINUL HASSAN,STARRED,4
202,219Part1,SHRI MOINUL HASSAN,UNSTARRED,22
203,219Part1,SHRI N. BALAGANGA,STARRED,1
204,219Part1,SHRI N. BALAGANGA,UNSTARRED,10
205,219Part1,SHRI N.K. SINGH,STARRED,3
206,219Part1,SHRI N.K. SINGH,UNSTARRED,27
207,219Part1,SHRI N.R. GOVINDARAJAR,STARRED,1
